id,time,head,total_inflow
BC-BB-F3-18890,2019-03-23 09:05:00,0.025508,
BC-BB-F3-18890,2019-03-23 09:06:00,0.025429,
BC-BB-F3-18890,2019-03-23 09:07:00,0.02534,
BC-BB-F3-18890,2019-03-23 09:08:00,0.025245,
BC-BB-F3-18890,2019-03-23 09:09:00,0.02515,
BC-BB-F3-18890,2019-03-23 09:10:00,0.025057,
BC-BB-F3-18890,2019-03-23 09:11:00,0.024967,
BC-BB-F3-18890,2019-03-23 09:12:00,0.02488,
BC-BB-F3-18890,2019-03-23 09:13:00,0.024798,
BC-BB-F3-18890,2019-03-23 09:14:00,0.024731,
BC-BB-F3-18890,2019-03-23 09:15:00,0.02467,
BC-BB-F3-18890,2019-03-23 09:16:00,0.0246,
BC-BB-F3-18890,2019-03-23 09:17:00,0.024516,
BC-BB-F3-18890,2019-03-23 09:18:00,0.024427,
BC-BB-F3-18890,2019-03-23 09:19:00,0.024335,
BC-BB-F3-18890,2019-03-23 09:20:00,0.024246,
BC-BB-F3-18890,2019-03-23 09:21:00,0.024159,
BC-BB-F3-18890,2019-03-23 09:22:00,0.024075,
BC-BB-F3-18890,2019-03-23 09:23:00,0.023993,
BC-BB-F3-18890,2019-03-23 09:24:00,0.02392,
BC-BB-F3-18890,2019-03-23 09:25:00,0.023859,
BC-BB-F3-18890,2019-03-23 09:26:00,0.0238,
BC-BB-F3-18890,2019-03-23 09:27:00,0.023728,
BC-BB-F3-18890,2019-03-23 09:28:00,0.023645,
BC-BB-F3-18890,2019-03-23 09:29:00,0.023558,
BC-BB-F3-18890,2019-03-23 09:30:00,0.023471,
BC-BB-F3-18890,2019-03-23 09:31:00,0.023387,
BC-BB-F3-18890,2019-03-23 09:32:00,0.023305,
BC-BB-F3-18890,2019-03-23 09:33:00,0.023226,
BC-BB-F3-18890,2019-03-23 09:34:00,0.023149,
BC-BB-F3-18890,2019-03-23 09:35:00,0.023079,
BC-BB-F3-18890,2019-03-23 09:36:00,0.023023,
BC-BB-F3-18890,2019-03-23 09:37:00,0.022968,
BC-BB-F3-18890,2019-03-23 09:38:00,0.022899,
BC-BB-F3-18890,2019-03-23 09:39:00,0.02282,
BC-BB-F3-18890,2019-03-23 09:40:00,0.022737,
BC-BB-F3-18890,2019-03-23 09:41:00,0.022655,
BC-BB-F3-18890,2019-03-23 09:42:00,0.022576,
BC-BB-F3-18890,2019-03-23 09:43:00,0.0225,
BC-BB-F3-18890,2019-03-23 09:44:00,0.022427,
BC-BB-F3-18890,2019-03-23 09:45:00,0.022354,
BC-BB-F3-18890,2019-03-23 09:46:00,0.022283,
BC-BB-F3-18890,2019-03-23 09:47:00,0.022225,
BC-BB-F3-18890,2019-03-23 09:48:00,0.022172,
BC-BB-F3-18890,2019-03-23 09:49:00,0.02211,
BC-BB-F3-18890,2019-03-23 09:50:00,0.022033,
BC-BB-F3-18890,2019-03-23 09:51:00,0.021951,
BC-BB-F3-18890,2019-03-23 09:52:00,0.021869,
BC-BB-F3-18890,2019-03-23 09:53:00,0.021789,
BC-BB-F3-18890,2019-03-23 09:54:00,0.021715,
BC-BB-F3-18890,2019-03-23 09:55:00,0.021645,
BC-BB-F3-18890,2019-03-23 09:56:00,0.021578,
BC-BB-F3-18890,2019-03-23 09:57:00,0.021512,
BC-BB-F3-18890,2019-03-23 09:58:00,0.021449,
BC-BB-F3-18890,2019-03-23 09:59:00,0.0214,
BC-BB-F3-18890,2019-03-23 10:00:00,0.021353,
BC-BB-F3-18890,2019-03-23 10:01:00,0.021292,
BC-BB-F3-18890,2019-03-23 10:02:00,0.021218,
BC-BB-F3-18890,2019-03-23 10:03:00,0.021138,
BC-BB-F3-18890,2019-03-23 10:04:00,0.021057,
BC-BB-F3-18890,2019-03-23 10:05:00,0.020979,
BC-BB-F3-18890,2019-03-23 10:06:00,0.020905,
BC-BB-F3-18890,2019-03-23 10:07:00,0.020834,
BC-BB-F3-18890,2019-03-23 10:08:00,0.020767,
BC-BB-F3-18890,2019-03-23 10:09:00,0.020702,
BC-BB-F3-18890,2019-03-23 10:10:00,0.020638,
BC-BB-F3-18890,2019-03-23 10:11:00,0.020588,
